Epoch,Phase,Iteration,Accuracy,Loss
1,Training,8,828250.4521288995,4976974590791.937
1,Val,8,129119949.09889674,1.6671979103388896e+16
2,Training,16,3.4195906029099184e+16,6.362807800945077e+33
2,Val,16,3.9981976082424366e+18,1.598560122310452e+37
3,Training,24,1.586471622333922e+27,9.13055162900251e+54
3,Val,24,1.2366200319719262e+29,1.529230362171456e+58
4,Training,32,9.80225247858098e+37,1.7512305093306305e+76
4,Val,32,3.830800551217804e+39,1.4675083635013002e+79
4,Training,40,nan,nan
4,Val,40,nan,nan
5,Training,48,nan,nan
5,Val,48,nan,nan
6,Training,56,nan,nan
6,Val,56,nan,nan
7,Training,64,nan,nan
7,Val,64,nan,nan
8,Training,72,nan,nan
8,Val,72,nan,nan
8,Training,80,nan,nan
8,Val,80,nan,nan
9,Training,88,nan,nan
9,Val,88,nan,nan
10,Training,96,nan,nan
10,Val,96,nan,nan
11,Training,104,nan,nan
11,Val,104,nan,nan
12,Training,112,nan,nan
12,Val,112,nan,nan
12,Training,120,nan,nan
12,Val,120,nan,nan
13,Training,128,nan,nan
13,Val,128,nan,nan
14,Training,136,nan,nan
14,Val,136,nan,nan
15,Training,144,nan,nan
15,Val,144,nan,nan
16,Training,152,nan,nan
16,Val,152,nan,nan
16,Training,160,nan,nan
16,Val,160,nan,nan
17,Training,168,nan,nan
17,Val,168,nan,nan
18,Training,176,nan,nan
18,Val,176,nan,nan
19,Training,184,nan,nan
19,Val,184,nan,nan
20,Training,192,nan,nan
20,Val,192,nan,nan
20,Training,200,nan,nan
20,Val,200,nan,nan
21,Training,208,nan,nan
21,Val,208,nan,nan
22,Training,216,nan,nan
22,Val,216,nan,nan
23,Training,224,nan,nan
23,Val,224,nan,nan
24,Training,232,nan,nan
24,Val,232,nan,nan
24,Training,240,nan,nan
24,Val,240,nan,nan
25,Training,248,nan,nan
25,Val,248,nan,nan
26,Training,256,nan,nan
26,Val,256,nan,nan
27,Training,264,nan,nan
27,Val,264,nan,nan
28,Training,272,nan,nan
28,Val,272,nan,nan
28,Training,280,nan,nan
28,Val,280,nan,nan
29,Training,288,nan,nan
29,Val,288,nan,nan
30,Training,296,nan,nan
30,Val,296,nan,nan
31,Training,304,nan,nan
31,Val,304,nan,nan
32,Training,312,nan,nan
32,Val,312,nan,nan
32,Training,320,nan,nan
32,Val,320,nan,nan
33,Training,328,nan,nan
33,Val,328,nan,nan
34,Training,336,nan,nan
34,Val,336,nan,nan
35,Training,344,nan,nan
35,Val,344,nan,nan
36,Training,352,nan,nan
36,Val,352,nan,nan
36,Training,360,nan,nan
36,Val,360,nan,nan
37,Training,368,nan,nan
37,Val,368,nan,nan
38,Training,376,nan,nan
38,Val,376,nan,nan
39,Training,384,nan,nan
39,Val,384,nan,nan
40,Training,392,nan,nan
40,Val,392,nan,nan
40,Training,400,nan,nan
40,Val,400,nan,nan
41,Training,408,nan,nan
41,Val,408,nan,nan
42,Training,416,nan,nan
42,Val,416,nan,nan
43,Training,424,nan,nan
43,Val,424,nan,nan
44,Training,432,nan,nan
44,Val,432,nan,nan
44,Training,440,nan,nan
44,Val,440,nan,nan
45,Training,448,nan,nan
45,Val,448,nan,nan
46,Training,456,nan,nan
46,Val,456,nan,nan
47,Training,464,nan,nan
47,Val,464,nan,nan
48,Training,472,nan,nan
48,Val,472,nan,nan
48,Training,480,nan,nan
48,Val,480,nan,nan
49,Training,488,nan,nan
49,Val,488,nan,nan
50,Training,496,nan,nan
50,Val,496,nan,nan
51,Training,504,nan,nan
51,Val,504,nan,nan
52,Training,512,nan,nan
52,Val,512,nan,nan
52,Training,520,nan,nan
52,Val,520,nan,nan
53,Training,528,nan,nan
53,Val,528,nan,nan
54,Training,536,nan,nan
54,Val,536,nan,nan
55,Training,544,nan,nan
55,Val,544,nan,nan
56,Training,552,nan,nan
56,Val,552,nan,nan
56,Training,560,nan,nan
56,Val,560,nan,nan
57,Training,568,nan,nan
57,Val,568,nan,nan
58,Training,576,nan,nan
58,Val,576,nan,nan
59,Training,584,nan,nan
59,Val,584,nan,nan
60,Training,592,nan,nan
60,Val,592,nan,nan
60,Training,600,nan,nan
60,Val,600,nan,nan
61,Training,608,nan,nan
61,Val,608,nan,nan
62,Training,616,nan,nan
62,Val,616,nan,nan
63,Training,624,nan,nan
63,Val,624,nan,nan
64,Training,632,nan,nan
64,Val,632,nan,nan
64,Training,640,nan,nan
64,Val,640,nan,nan
65,Training,648,nan,nan
65,Val,648,nan,nan
66,Training,656,nan,nan
66,Val,656,nan,nan
67,Training,664,nan,nan
67,Val,664,nan,nan
68,Training,672,nan,nan
68,Val,672,nan,nan
68,Training,680,nan,nan
68,Val,680,nan,nan
69,Training,688,nan,nan
69,Val,688,nan,nan
70,Training,696,nan,nan
70,Val,696,nan,nan
71,Training,704,nan,nan
71,Val,704,nan,nan
72,Training,712,nan,nan
72,Val,712,nan,nan
72,Training,720,nan,nan
72,Val,720,nan,nan
73,Training,728,nan,nan
73,Val,728,nan,nan
74,Training,736,nan,nan
74,Val,736,nan,nan
75,Training,744,nan,nan
75,Val,744,nan,nan
76,Training,752,nan,nan
76,Val,752,nan,nan
76,Training,760,nan,nan
76,Val,760,nan,nan
77,Training,768,nan,nan
77,Val,768,nan,nan
78,Training,776,nan,nan
78,Val,776,nan,nan
79,Training,784,nan,nan
79,Val,784,nan,nan
80,Training,792,nan,nan
80,Val,792,nan,nan
80,Training,800,nan,nan
80,Val,800,nan,nan
81,Training,808,nan,nan
81,Val,808,nan,nan
82,Training,816,nan,nan
82,Val,816,nan,nan
83,Training,824,nan,nan
83,Val,824,nan,nan
84,Training,832,nan,nan
84,Val,832,nan,nan
84,Training,840,nan,nan
84,Val,840,nan,nan
85,Training,848,nan,nan
85,Val,848,nan,nan
86,Training,856,nan,nan
86,Val,856,nan,nan
87,Training,864,nan,nan
87,Val,864,nan,nan
88,Training,872,nan,nan
88,Val,872,nan,nan
88,Training,880,nan,nan
88,Val,880,nan,nan
89,Training,888,nan,nan
89,Val,888,nan,nan
90,Training,896,nan,nan
90,Val,896,nan,nan
91,Training,904,nan,nan
91,Val,904,nan,nan
92,Training,912,nan,nan
92,Val,912,nan,nan
92,Training,920,nan,nan
92,Val,920,nan,nan
93,Training,928,nan,nan
93,Val,928,nan,nan
94,Training,936,nan,nan
94,Val,936,nan,nan
95,Training,944,nan,nan
95,Val,944,nan,nan
96,Training,952,nan,nan
96,Val,952,nan,nan
96,Training,960,nan,nan
96,Val,960,nan,nan
97,Training,968,nan,nan
97,Val,968,nan,nan
98,Training,976,nan,nan
98,Val,976,nan,nan
99,Training,984,nan,nan
99,Val,984,nan,nan
100,Training,992,nan,nan
100,Val,992,nan,nan
100,Training,1000,nan,nan
100,Val,1000,nan,nan
101,Training,1008,nan,nan
101,Val,1008,nan,nan
102,Training,1016,nan,nan
102,Val,1016,nan,nan
103,Training,1024,nan,nan
103,Val,1024,nan,nan
104,Training,1032,nan,nan
104,Val,1032,nan,nan
104,Training,1040,nan,nan
104,Val,1040,nan,nan
105,Training,1048,nan,nan
105,Val,1048,nan,nan
106,Training,1056,nan,nan
106,Val,1056,nan,nan
107,Training,1064,nan,nan
107,Val,1064,nan,nan
108,Training,1072,nan,nan
108,Val,1072,nan,nan
108,Training,1080,nan,nan
108,Val,1080,nan,nan
109,Training,1088,nan,nan
109,Val,1088,nan,nan
110,Training,1096,nan,nan
110,Val,1096,nan,nan
111,Training,1104,nan,nan
111,Val,1104,nan,nan
112,Training,1112,nan,nan
112,Val,1112,nan,nan
112,Training,1120,nan,nan
112,Val,1120,nan,nan
113,Training,1128,nan,nan
113,Val,1128,nan,nan
114,Training,1136,nan,nan
114,Val,1136,nan,nan
115,Training,1144,nan,nan
115,Val,1144,nan,nan
116,Training,1152,nan,nan
116,Val,1152,nan,nan
116,Training,1160,nan,nan
116,Val,1160,nan,nan
117,Training,1168,nan,nan
117,Val,1168,nan,nan
118,Training,1176,nan,nan
118,Val,1176,nan,nan
119,Training,1184,nan,nan
119,Val,1184,nan,nan
120,Training,1192,nan,nan
120,Val,1192,nan,nan
120,Training,1200,nan,nan
120,Val,1200,nan,nan
121,Training,1208,nan,nan
121,Val,1208,nan,nan
122,Training,1216,nan,nan
122,Val,1216,nan,nan
123,Training,1224,nan,nan
123,Val,1224,nan,nan
124,Training,1232,nan,nan
124,Val,1232,nan,nan
124,Training,1240,nan,nan
124,Val,1240,nan,nan
125,Training,1248,nan,nan
125,Val,1248,nan,nan
126,Training,1256,nan,nan
126,Val,1256,nan,nan
127,Training,1264,nan,nan
127,Val,1264,nan,nan
128,Training,1272,nan,nan
128,Val,1272,nan,nan
128,Training,1280,nan,nan
128,Val,1280,nan,nan
129,Training,1288,nan,nan
129,Val,1288,nan,nan
130,Training,1296,nan,nan
130,Val,1296,nan,nan
131,Training,1304,nan,nan
131,Val,1304,nan,nan
132,Training,1312,nan,nan
132,Val,1312,nan,nan
132,Training,1320,nan,nan
132,Val,1320,nan,nan
133,Training,1328,nan,nan
133,Val,1328,nan,nan
134,Training,1336,nan,nan
134,Val,1336,nan,nan
135,Training,1344,nan,nan
135,Val,1344,nan,nan
136,Training,1352,nan,nan
136,Val,1352,nan,nan
136,Training,1360,nan,nan
136,Val,1360,nan,nan
137,Training,1368,nan,nan
137,Val,1368,nan,nan
138,Training,1376,nan,nan
138,Val,1376,nan,nan
139,Training,1384,nan,nan
139,Val,1384,nan,nan
140,Training,1392,nan,nan
140,Val,1392,nan,nan
140,Training,1400,nan,nan
140,Val,1400,nan,nan
141,Training,1408,nan,nan
141,Val,1408,nan,nan
142,Training,1416,nan,nan
142,Val,1416,nan,nan
143,Training,1424,nan,nan
143,Val,1424,nan,nan
144,Training,1432,nan,nan
144,Val,1432,nan,nan
144,Training,1440,nan,nan
144,Val,1440,nan,nan
145,Training,1448,nan,nan
145,Val,1448,nan,nan
146,Training,1456,nan,nan
